system,src,tgt
Convert natural language to regular expression.,"lines with a number, 6 or more times before a lower-case letter","(([0-9]){6,}).*([a-z]).*"
Convert natural language to regular expression.,lines with the string 'dog' and a lower-case letter before the string 'truck',((dog)&([a-z])).*(truck).*
Convert natural language to regular expression.,lines ending with words with a lower-case letter followed by the string 'dog',(.*)(\b[a-z].*dog.*\b)
Convert natural language to regular expression.,lines containing a lower-case letter or a capital letter at least once,((.*[a-z].*)|([A-Z]))+
Convert natural language to regular expression.,lines with words with the string 'dog' followed by a letter and the string 'truck',\b(dog.*[A-Za-z].*)&(truck)\b
Convert natural language to regular expression.,"lines with the string 'dog' followed by the string 'truck' and the string 'ring', the string 'lake', and a lower-case letter",(dog.*truck.*)&((ring)&(lake)&([a-z]))
Convert natural language to regular expression.,lines ending with a number followed by a capital letter or the string 'dog',(.*)(([0-9].*[A-Z].*)|(dog))
Convert natural language to regular expression.,lines starting with a letter or a capital letter,(([A-Za-z])|([A-Z]))(.*)
Convert natural language to regular expression.,lines with a number before a vowel or a capital letter,([0-9]).*(([AEIOUaeiou])|([A-Z])).*
Convert natural language to regular expression.,lines with a character before the string 'dog' followed by a vowel,(.).*(dog.*[AEIOUaeiou].*).*
Convert natural language to regular expression.,"lines containing either a letter, the string 'dog', or a lower-case letter",.*([A-Za-z])|(dog)|([a-z]).*
Convert natural language to regular expression.,"lines with words with the string 'dog', a capital letter, and a vowel",\b(dog)&([A-Z])&([AEIOUaeiou])\b
Convert natural language to regular expression.,lines with the string 'dog' before ending with a capital letter,(dog).*((.*)([A-Z])).*
Convert natural language to regular expression.,lines ending with containing a character at least once,(.*)((.*..*)+)
Convert natural language to regular expression.,lines with a vowel and a letter before a number,(([AEIOUaeiou])&([A-Za-z])).*([0-9]).*
Convert natural language to regular expression.,lines with words with a number followed by a character,\b[0-9].*..*\b
Convert natural language to regular expression.,"lines not having the string 'dog', a character, or the string 'truck'",~((dog)|(.)|(truck))
Convert natural language to regular expression.,lines with a vowel before the string 'dog' and a number,([AEIOUaeiou]).*((dog)&([0-9])).*
Convert natural language to regular expression.,lines ending with the string 'dog' and a vowel or a character,(.*)(((dog)&([AEIOUaeiou]))|(.))
Convert natural language to regular expression.,lines not having the string 'dog' followed by a letter at least once,~((dog.*[A-Za-z].*)+)
Convert natural language to regular expression.,lines with words with a letter and a character at least once,(\b([A-Za-z])&(.)\b)+
Convert natural language to regular expression.,lines starting with a capital letter or containing the string 'dog',(([A-Z])|(.*dog.*))(.*)
Convert natural language to regular expression.,lines with a vowel followed by a character at least once,([AEIOUaeiou].*..*)+
Convert natural language to regular expression.,lines not words with a capital letter at least once,~(\b([A-Z])+\b)
Convert natural language to regular expression.,"lines with a capital letter before the string 'dog', a number, and a letter",([A-Z]).*((dog)&([0-9])&([A-Za-z])).*
Convert natural language to regular expression.,lines not starting with the string 'dog' at least once,~(((dog)+)(.*))
Convert natural language to regular expression.,"lines with the string 'dog', 5 or more times and ending with a letter","((dog){5,})&((.*)([A-Za-z]))"
Convert natural language to regular expression.,lines with a letter and a character before a number,(([A-Za-z])&(.)).*([0-9]).*
Convert natural language to regular expression.,lines with a number or a vowel before a letter,(([0-9])|([AEIOUaeiou])).*([A-Za-z]).*
Convert natural language to regular expression.,"lines with words with a character, the string 'dog', and the string 'truck'",\b(.)&(dog)&(truck)\b
Convert natural language to regular expression.,"lines with words with a letter, the string 'dog', and a number",\b([A-Za-z])&(dog)&([0-9])\b
Convert natural language to regular expression.,lines ending with a lower-case letter followed by a letter,(.*)([a-z].*[A-Za-z].*)
Convert natural language to regular expression.,lines with the string 'dog' followed by a capital letter before a number,(dog.*[A-Z].*).*([0-9]).*
Convert natural language to regular expression.,lines not having a character before the string 'dog' and not the string 'truck',~(((.).*(dog).*)&(truck))
Convert natural language to regular expression.,"lines with the string 'dog' before a number, 3 or more times","(dog).*(([0-9]){3,}).*"
Convert natural language to regular expression.,lines ending with words with the string 'dog' and a vowel,(.*)(\b(dog)&([AEIOUaeiou])\b)
Convert natural language to regular expression.,lines with words with a number or a vowel,\b([0-9])|([AEIOUaeiou])\b
Convert natural language to regular expression.,"lines not having a character, a vowel, or a number",~((.)|([AEIOUaeiou])|([0-9]))
Convert natural language to regular expression.,lines ending with containing the string 'dog' and a vowel,(.*)(.*(dog)&([AEIOUaeiou]).*)
Convert natural language to regular expression.,"lines with a vowel before a letter, 7 or more times","([AEIOUaeiou]).*(([A-Za-z]){7,}).*"
Convert natural language to regular expression.,lines containing a vowel or a lower-case letter at least once,(.*[AEIOUaeiou].*)|(([a-z])+)
Convert natural language to regular expression.,"lines containing a number before a vowel, 7 or more times","(.*([0-9]).*([AEIOUaeiou]).*.*){7,}"
Convert natural language to regular expression.,lines starting with a vowel or containing the string 'dog',(([AEIOUaeiou])(.*))|(.*dog.*)
Convert natural language to regular expression.,lines containing ending with the string 'dog' or a capital letter,.*(.*)((dog)|([A-Z])).*
Convert natural language to regular expression.,lines with a number and a lower-case letter before the string 'dog',(([0-9])&([a-z])).*(dog).*
Convert natural language to regular expression.,"lines with words with either a letter, the string 'dog', or the string 'truck'",\b([A-Za-z])|(dog)|(truck)\b
Convert natural language to regular expression.,"lines with a character or a lower-case letter, 3 or more times","((.)|([a-z])){3,}"
Convert natural language to regular expression.,"lines with words with either the string 'dog', a character, or a capital letter, 6 or more times","(\b(dog)|(.)|([A-Z])\b){6,}"
Convert natural language to regular expression.,lines with the string 'dog' before words with a capital letter and a letter,(dog).*(\b([A-Z])&([A-Za-z])\b).*
Convert natural language to regular expression.,lines with a character followed by the string 'dog' before a lower-case letter or a vowel,(..*dog.*).*(([a-z])|([AEIOUaeiou])).*
Convert natural language to regular expression.,lines with a letter before containing the string 'dog',([A-Za-z]).*(.*dog.*).*
Convert natural language to regular expression.,"lines not having a number, 6 or more times","~(([0-9]){6,})"
Convert natural language to regular expression.,"lines containing the string 'dog' or the string 'truck', 2 or more times","(.*dog.*)|((truck){2,})"
Convert natural language to regular expression.,lines with words that don't have a character at least once,(\b~(.)\b)+
Convert natural language to regular expression.,lines with a lower-case letter before the string 'dog' followed by a letter,([a-z]).*(dog.*[A-Za-z].*).*
Convert natural language to regular expression.,"lines with words with either a letter, a character, or a number",\b([A-Za-z])|(.)|([0-9])\b
Convert natural language to regular expression.,lines with the string 'dog' before a vowel or the string 'truck' at least once,(dog).*((([AEIOUaeiou])|(truck))+).*
Convert natural language to regular expression.,"lines with a lower-case letter, 4 or more times before a letter","(([a-z]){4,}).*([A-Za-z]).*"
Convert natural language to regular expression.,lines starting with a capital letter followed by a vowel,([A-Z].*[AEIOUaeiou].*)(.*)
Convert natural language to regular expression.,lines with the string 'dog' before a letter or a vowel,(dog).*(([A-Za-z])|([AEIOUaeiou])).*
Convert natural language to regular expression.,lines with a letter before a character and a number,([A-Za-z]).*((.)&([0-9])).*
Convert natural language to regular expression.,"lines with the string 'dog' before either a character, the string 'truck', or a lower-case letter",(dog).*((.)|(truck)|([a-z])).*
Convert natural language to regular expression.,"lines with words that contain a vowel, 4 or more times","\b.*([AEIOUaeiou]){4,}.*\b"
Convert natural language to regular expression.,lines with the string 'dog' before a character or a vowel,(dog).*((.)|([AEIOUaeiou])).*
Convert natural language to regular expression.,"lines having a lower-case letter, the string 'dog', and a number before the string 'truck'",(([a-z])&(dog)&([0-9])).*(truck).*
Convert natural language to regular expression.,"lines with words with either the string 'dog', the string 'truck', or a number",\b(dog)|(truck)|([0-9])\b
Convert natural language to regular expression.,lines with a lower-case letter followed by a capital letter before the string 'dog',([a-z].*[A-Z].*).*(dog).*
Convert natural language to regular expression.,"lines not having a character, not a capital letter, and not a number",~((.)&([A-Z])&([0-9]))
Convert natural language to regular expression.,lines with words with ending with a number and the string 'dog',\b((.*)([0-9]))&(dog)\b
Convert natural language to regular expression.,lines starting with a character and the string 'dog' followed by the string 'truck',((.)(.*))&(dog.*truck.*)
Convert natural language to regular expression.,"lines not having the string 'dog', not a capital letter, and not a character",~((dog)&([A-Z])&(.))
Convert natural language to regular expression.,lines starting with the string 'dog' or ending with the string 'truck',((dog)(.*))|((.*)(truck))
Convert natural language to regular expression.,lines with a character before a vowel and containing a lower-case letter,((.).*([AEIOUaeiou]).*)&(.*[a-z].*)
Convert natural language to regular expression.,lines containing a letter or a character and a lower-case letter,(.*[A-Za-z].*)|((.)&([a-z]))
Convert natural language to regular expression.,"lines with the string 'dog' before a letter, 5 or more times","(dog).*(([A-Za-z]){5,}).*"
Convert natural language to regular expression.,"lines not having the string 'dog', not a character, and not a number",~((dog)&(.)&([0-9]))
Convert natural language to regular expression.,"lines containing a letter, the string 'dog', and the string 'truck'",.*([A-Za-z])&(dog)&(truck).*
Convert natural language to regular expression.,"lines with a letter, zero or more times before not a number",(([A-Za-z])*).*(~([0-9])).*
Convert natural language to regular expression.,"lines containing a number, a vowel, and the string 'dog'",.*([0-9])&([AEIOUaeiou])&(dog).*
Convert natural language to regular expression.,lines not having a character before ending with a lower-case letter,(~(.)).*((.*)([a-z])).*
Convert natural language to regular expression.,"lines containing either a number, a lower-case letter, or a letter",.*([0-9])|([a-z])|([A-Za-z]).*
Convert natural language to regular expression.,"lines having either a capital letter, the string 'dog', or a letter before a character",(([A-Z])|(dog)|([A-Za-z])).*(.).*
Convert natural language to regular expression.,"lines containing either a lower-case letter, the string 'dog', or the string 'truck', zero or more times",(.*([a-z])|(dog)|(truck).*)*
Convert natural language to regular expression.,"lines not having a character, not a number, and not a capital letter",~((.)&([0-9])&([A-Z]))
Convert natural language to regular expression.,lines with a lower-case letter before containing a vowel,([a-z]).*(.*[AEIOUaeiou].*).*
Convert natural language to regular expression.,lines not having the string 'dog' before a number,~((dog).*([0-9]).*)
Convert natural language to regular expression.,lines containing a character or a letter,.*(.)|([A-Za-z]).*
Convert natural language to regular expression.,"lines with a vowel followed by a number, zero or more times",([AEIOUaeiou].*[0-9].*)*
Convert natural language to regular expression.,"lines starting with the string 'dog' and a capital letter, 6 or more times","((dog)(.*))&(([A-Z]){6,})"
Convert natural language to regular expression.,lines with a letter before the string 'dog' or a number,([A-Za-z]).*((dog)|([0-9])).*
Convert natural language to regular expression.,"lines having a vowel, a lower-case letter, and the string 'dog' before a character",(([AEIOUaeiou])&([a-z])&(dog)).*(.).*
Convert natural language to regular expression.,"lines with the string 'dog', 5 or more times before a capital letter","((dog){5,}).*([A-Z]).*"
Convert natural language to regular expression.,lines containing the string 'dog' at least once before a character,.*((dog)+).*(.).*.*
Convert natural language to regular expression.,lines with a capital letter before the string 'dog' or a vowel,([A-Z]).*((dog)|([AEIOUaeiou])).*
Convert natural language to regular expression.,lines containing the string 'dog' at least once before the string 'truck',((.*dog.*)+).*(truck).*
Convert natural language to regular expression.,lines containing a character,.*..*
Convert natural language to regular expression.,"lines containing words with either a lower-case letter, a character, or the string 'dog'",.*\b([a-z])|(.)|(dog)\b.*
Convert natural language to regular expression.,lines with a capital letter and a number before a vowel,(([A-Z])&([0-9])).*([AEIOUaeiou]).*
Convert natural language to regular expression.,lines with a letter before containing only a capital letter at least once,([A-Za-z]).*(([A-Z])+).*
Convert natural language to regular expression.,"lines with a capital letter before a number, 3 or more times","([A-Z]).*(([0-9]){3,}).*"
Convert natural language to regular expression.,lines starting with the string 'dog' at least once,((dog)+)(.*)
Convert natural language to regular expression.,"lines with the string 'dog', 3 or more times before a vowel","((dog){3,}).*([AEIOUaeiou]).*"
Convert natural language to regular expression.,"lines containing a capital letter, the string 'dog', and a number",.*([A-Z])&(dog)&([0-9]).*
Convert natural language to regular expression.,"lines having either the string 'dog', the string 'truck', or a lower-case letter before a capital letter",((dog)|(truck)|([a-z])).*([A-Z]).*
Convert natural language to regular expression.,lines with a vowel and the string 'dog' before the string 'truck' or a capital letter,(([AEIOUaeiou])&(dog)).*((truck)|([A-Z])).*
Convert natural language to regular expression.,lines with words with starting with a lower-case letter or a number,\b(([a-z])(.*))|([0-9])\b
Convert natural language to regular expression.,lines containing words with not a lower-case letter,.*\b~([a-z])\b.*
Convert natural language to regular expression.,lines containing the string 'dog' before not the string 'truck',(.*dog.*).*(~(truck)).*
Convert natural language to regular expression.,lines with a character followed by a number before a capital letter,(..*[0-9].*).*([A-Z]).*
Convert natural language to regular expression.,"lines with a vowel before a number, 7 or more times","([AEIOUaeiou]).*(([0-9]){7,}).*"
Convert natural language to regular expression.,"lines containing either a capital letter, a vowel, or a lower-case letter",.*([A-Z])|([AEIOUaeiou])|([a-z]).*
Convert natural language to regular expression.,lines with a capital letter or a letter before a vowel,(([A-Z])|([A-Za-z])).*([AEIOUaeiou]).*
Convert natural language to regular expression.,lines ending with a vowel followed by a character,(.*)([AEIOUaeiou].*..*)
Convert natural language to regular expression.,lines starting with a vowel or a capital letter,(([AEIOUaeiou])|([A-Z]))(.*)
Convert natural language to regular expression.,"lines having either the string 'dog', a capital letter, or the string 'truck' before a number",((dog)|([A-Z])|(truck)).*([0-9]).*
Convert natural language to regular expression.,"lines with words with a vowel, 3 or more times","\b([AEIOUaeiou]){3,}\b"
Convert natural language to regular expression.,lines with a vowel at least once before a capital letter,(([AEIOUaeiou])+).*([A-Z]).*
Convert natural language to regular expression.,"lines starting with words with a letter, a lower-case letter, and the string 'dog'",(\b([A-Za-z])&([a-z])&(dog)\b)(.*)
Convert natural language to regular expression.,"lines with a letter before the string 'dog', zero or more times",([A-Za-z]).*((dog)*).*
Convert natural language to regular expression.,"lines with a number followed by a vowel, 3 or more times","([0-9].*[AEIOUaeiou].*){3,}"
Convert natural language to regular expression.,"lines with words with the string 'dog' before a capital letter, zero or more times",(\b(dog).*([A-Z]).*\b)*
Convert natural language to regular expression.,"lines containing a letter, a character, and the string 'dog'",.*([A-Za-z])&(.)&(dog).*
Convert natural language to regular expression.,"lines with words with the string 'dog', 2 or more times before a capital letter","\b((dog){2,}).*([A-Z]).*\b"
Convert natural language to regular expression.,lines containing a character and a number,.*(.)&([0-9]).*
Convert natural language to regular expression.,lines containing a letter or a number at least once,((.*[A-Za-z].*)|([0-9]))+
Convert natural language to regular expression.,lines not ending with a character at least once,~((.*)((.)+))
Convert natural language to regular expression.,"lines with words with either the string 'dog', a vowel, or a capital letter",\b(dog)|([AEIOUaeiou])|([A-Z])\b
Convert natural language to regular expression.,"lines having either a capital letter, a character, or the string 'dog' before the string 'truck'",(([A-Z])|(.)|(dog)).*(truck).*
Convert natural language to regular expression.,lines with words with starting with a letter or the string 'dog',\b(([A-Za-z])|(dog))(.*)\b
Convert natural language to regular expression.,"lines not having the string 'dog', not a vowel, and not a character",~((dog)&([AEIOUaeiou])&(.))
Convert natural language to regular expression.,lines with a vowel followed by a number before a capital letter,([AEIOUaeiou].*[0-9].*).*([A-Z]).*
Convert natural language to regular expression.,"lines with words with a number, a vowel, and a character",\b([0-9])&([AEIOUaeiou])&(.)\b
Convert natural language to regular expression.,lines not having a capital letter before the string 'dog' and not a vowel,~((([A-Z]).*(dog).*)&([AEIOUaeiou]))
Convert natural language to regular expression.,"lines with words with a vowel, a number, and the string 'dog'",\b([AEIOUaeiou])&([0-9])&(dog)\b
Convert natural language to regular expression.,lines with a letter followed by the string 'dog' before the string 'truck' and a vowel,([A-Za-z].*dog.*).*((truck)&([AEIOUaeiou])).*
Convert natural language to regular expression.,lines not starting with a vowel before the string 'dog',(~(([AEIOUaeiou])(.*))).*(dog).*
Convert natural language to regular expression.,lines with a character before a capital letter,(.).*([A-Z]).*
Convert natural language to regular expression.,"lines with a character followed by the string 'dog', 5 or more times","(..*dog.*){5,}"
Convert natural language to regular expression.,lines starting with the string 'dog' or a number at least once,((dog)|(([0-9])+))(.*)
Convert natural language to regular expression.,"lines with the string 'dog' before ending with a capital letter, zero or more times",(dog).*(((.*)([A-Z]))*).*
Convert natural language to regular expression.,"lines with a letter, zero or more times before a vowel",(([A-Za-z])*).*([AEIOUaeiou]).*
Convert natural language to regular expression.,lines with a lower-case letter before containing a capital letter,([a-z]).*(.*[A-Z].*).*
Convert natural language to regular expression.,"lines not having the string 'dog', zero or more times and not a letter",~(((dog)*)&([A-Za-z]))
Convert natural language to regular expression.,lines not containing a lower-case letter before a capital letter,~(.*([a-z]).*([A-Z]).*.*)
Convert natural language to regular expression.,lines with the string 'dog' or a capital letter before the string 'truck',((dog)|([A-Z])).*(truck).*
Convert natural language to regular expression.,lines containing ending with the string 'dog' followed by the string 'truck',.*(.*)(dog.*truck.*).*
Convert natural language to regular expression.,"lines containing either a vowel, a number, or the string 'dog'",.*([AEIOUaeiou])|([0-9])|(dog).*
Convert natural language to regular expression.,"lines with the string 'dog' before a letter, a lower-case letter, and a character",(dog).*(([A-Za-z])&([a-z])&(.)).*
Convert natural language to regular expression.,lines with a letter before the string 'dog' followed by a number,([A-Za-z]).*(dog.*[0-9].*).*
Convert natural language to regular expression.,lines with a number followed by a letter before a lower-case letter,([0-9].*[A-Za-z].*).*([a-z]).*
Convert natural language to regular expression.,"lines with the string 'dog' or the string 'truck' followed by a number, 3 or more times","((dog)|(truck.*[0-9].*)){3,}"
Convert natural language to regular expression.,"lines with words with either a number, a vowel, or a letter, zero or more times",(\b([0-9])|([AEIOUaeiou])|([A-Za-z])\b)*
Convert natural language to regular expression.,"lines not having a number before a vowel, a capital letter, and a lower-case letter",(~([0-9])).*(([AEIOUaeiou])&([A-Z])&([a-z])).*
Convert natural language to regular expression.,"lines with a letter and the string 'dog' before a number, zero or more times",(([A-Za-z])&(dog)).*(([0-9])*).*
Convert natural language to regular expression.,lines with a vowel at least once before a lower-case letter,(([AEIOUaeiou])+).*([a-z]).*
Convert natural language to regular expression.,lines with a lower-case letter and a vowel before ending with the string 'dog',(([a-z])&([AEIOUaeiou])).*((.*)(dog)).*
Convert natural language to regular expression.,"lines containing the string 'dog', a capital letter, and a character",.*(dog)&([A-Z])&(.).*
Convert natural language to regular expression.,lines with a capital letter before a lower-case letter followed by a number,([A-Z]).*([a-z].*[0-9].*).*
Convert natural language to regular expression.,"lines with a lower-case letter, 2 or more times before a letter","(([a-z]){2,}).*([A-Za-z]).*"
Convert natural language to regular expression.,lines with the string 'dog' before the string 'truck' or the string 'ring',(dog).*((truck)|(ring)).*
Convert natural language to regular expression.,"lines not having the string 'dog', a number, or a capital letter",~((dog)|([0-9])|([A-Z]))
Convert natural language to regular expression.,"lines having a capital letter, the string 'dog', and the string 'truck' before a number",(([A-Z])&(dog)&(truck)).*([0-9]).*
Convert natural language to regular expression.,lines with a letter before the string 'dog' followed by a lower-case letter,([A-Za-z]).*(dog.*[a-z].*).*
Convert natural language to regular expression.,lines with words with the string 'dog' or not a vowel,\b(dog)|(~([AEIOUaeiou]))\b
Convert natural language to regular expression.,"lines with a capital letter, zero or more times or the string 'dog' before a character",(([A-Z])*)|((dog).*(.).*)
Convert natural language to regular expression.,"lines not having a capital letter, not a letter, and not a vowel",~(([A-Z])&([A-Za-z])&([AEIOUaeiou]))
Convert natural language to regular expression.,lines ending with a capital letter and a vowel followed by a letter,((.*)([A-Z]))&([AEIOUaeiou].*[A-Za-z].*)
Convert natural language to regular expression.,lines containing ending with a capital letter before the string 'dog',.*((.*)([A-Z])).*(dog).*.*
Convert natural language to regular expression.,"lines with the string 'dog' followed by a lower-case letter, 6 or more times","(dog.*[a-z].*){6,}"
Convert natural language to regular expression.,"lines with the string 'dog' at least once and a vowel, a character, and the string 'truck'",((dog)+)&(([AEIOUaeiou])&(.)&(truck))
Convert natural language to regular expression.,"lines with a capital letter before a vowel, 3 or more times","([A-Z]).*(([AEIOUaeiou]){3,}).*"
Convert natural language to regular expression.,"lines having the string 'dog', a number, and a capital letter before a character",((dog)&([0-9])&([A-Z])).*(.).*
Convert natural language to regular expression.,"lines having a capital letter, the string 'dog', and the string 'truck' before the string 'ring'",(([A-Z])&(dog)&(truck)).*(ring).*
Convert natural language to regular expression.,"lines with a capital letter followed by a vowel, 6 or more times","([A-Z].*[AEIOUaeiou].*){6,}"
Convert natural language to regular expression.,"lines not containing the string 'dog', 5 or more times","~(.*(dog){5,}.*)"
Convert natural language to regular expression.,lines ending with a vowel or a number at least once,((.*)([AEIOUaeiou]))|(([0-9])+)
Convert natural language to regular expression.,lines starting with a letter followed by the string 'dog',([A-Za-z].*dog.*)(.*)
Convert natural language to regular expression.,lines containing ending with the string 'dog' and a lower-case letter,.*((.*)(dog))&([a-z]).*
Convert natural language to regular expression.,"lines containing a letter, 7 or more times",".*([A-Za-z]){7,}.*"
Convert natural language to regular expression.,"lines with the string 'dog' before either a letter, a capital letter, or a vowel",(dog).*(([A-Za-z])|([A-Z])|([AEIOUaeiou])).*
Convert natural language to regular expression.,"lines having a vowel, the string 'dog', and the string 'truck' before a number",(([AEIOUaeiou])&(dog)&(truck)).*([0-9]).*
Convert natural language to regular expression.,"lines having the string 'dog', a letter, and the string 'truck' before a lower-case letter",((dog)&([A-Za-z])&(truck)).*([a-z]).*
Convert natural language to regular expression.,lines with the string 'dog' before a capital letter and a number followed by the string 'truck',((dog).*([A-Z]).*)&([0-9].*truck.*)
Convert natural language to regular expression.,lines with a capital letter before a character,([A-Z]).*(.).*
Convert natural language to regular expression.,"lines with the string 'dog' before either a lower-case letter, the string 'truck', or a number",(dog).*(([a-z])|(truck)|([0-9])).*
Convert natural language to regular expression.,lines with words with a number before not a vowel,\b([0-9]).*(~([AEIOUaeiou])).*\b
Convert natural language to regular expression.,lines with a capital letter before the string 'dog',([A-Z]).*(dog).*
Convert natural language to regular expression.,"lines not having a capital letter, 2 or more times and not the string 'dog'","~((([A-Z]){2,})&(dog))"
Convert natural language to regular expression.,"lines with words with either a character, the string 'dog', or a capital letter",\b(.)|(dog)|([A-Z])\b
Convert natural language to regular expression.,"lines with a lower-case letter before the string 'dog', 4 or more times","([a-z]).*((dog){4,}).*"
Convert natural language to regular expression.,lines starting with words with a number before the string 'dog',(\b([0-9]).*(dog).*\b)(.*)
Convert natural language to regular expression.,"lines containing the string 'dog' and the string 'truck', a lower-case letter, and a letter",(.*dog.*)&((truck)&([a-z])&([A-Za-z]))
Convert natural language to regular expression.,lines with the string 'dog' before a number followed by a letter,(dog).*([0-9].*[A-Za-z].*).*
Convert natural language to regular expression.,lines with the string 'dog' and a character before a number,((dog)&(.)).*([0-9]).*
Convert natural language to regular expression.,lines starting with a vowel or the string 'dog' before the string 'truck',(([AEIOUaeiou])(.*))|((dog).*(truck).*)
Convert natural language to regular expression.,lines with a character before a number and the string 'dog' followed by the string 'truck',((.).*([0-9]).*)&(dog.*truck.*)
Convert natural language to regular expression.,"lines with a letter or containing a number, 4 or more times","(([A-Za-z])|(.*[0-9].*)){4,}"
Convert natural language to regular expression.,"lines having either the string 'dog', a capital letter, or a vowel before a number",((dog)|([A-Z])|([AEIOUaeiou])).*([0-9]).*
Convert natural language to regular expression.,"lines not having a character, a number, or the string 'dog'",~((.)|([0-9])|(dog))
Convert natural language to regular expression.,lines with a lower-case letter or a letter before a vowel,(([a-z])|([A-Za-z])).*([AEIOUaeiou]).*
Convert natural language to regular expression.,"lines with words with either a lower-case letter, a number, or a vowel",\b([a-z])|([0-9])|([AEIOUaeiou])\b
Convert natural language to regular expression.,lines with the string 'dog' before a vowel and the string 'truck',(dog).*(([AEIOUaeiou])&(truck)).*
Convert natural language to regular expression.,"lines starting with a capital letter or the string 'dog', zero or more times",(([A-Z])|((dog)*))(.*)
Convert natural language to regular expression.,"lines not having a capital letter, not a letter, and not the string 'dog'",~(([A-Z])&([A-Za-z])&(dog))
Convert natural language to regular expression.,"lines with words with a letter or a number, zero or more times",\b([A-Za-z])|(([0-9])*)\b
Convert natural language to regular expression.,"lines having either the string 'dog', the string 'truck', or a character before a lower-case letter",((dog)|(truck)|(.)).*([a-z]).*
Convert natural language to regular expression.,"lines with a number or a lower-case letter, 7 or more times","(([0-9])|([a-z])){7,}"
Convert natural language to regular expression.,lines not having a lower-case letter or a capital letter at least once,((~([a-z]))|([A-Z]))+
Convert natural language to regular expression.,"lines with a lower-case letter or a vowel, 4 or more times","(([a-z])|([AEIOUaeiou])){4,}"
Convert natural language to regular expression.,"lines with a vowel followed by a letter, 5 or more times","([AEIOUaeiou].*[A-Za-z].*){5,}"
Convert natural language to regular expression.,lines starting with a letter before the string 'dog' and a vowel,(([A-Za-z])(.*)).*((dog)&([AEIOUaeiou])).*
Convert natural language to regular expression.,lines not having a character or a lower-case letter,~((.)|([a-z]))
Convert natural language to regular expression.,"lines having either the string 'dog', a lower-case letter, or a vowel before a letter",((dog)|([a-z])|([AEIOUaeiou])).*([A-Za-z]).*
Convert natural language to regular expression.,lines starting with a capital letter before a character,(([A-Z])(.*)).*(.).*
Convert natural language to regular expression.,lines ending with a vowel or the string 'dog',(.*)(([AEIOUaeiou])|(dog))
Convert natural language to regular expression.,lines with a lower-case letter and a letter before a vowel,(([a-z])&([A-Za-z])).*([AEIOUaeiou]).*
Convert natural language to regular expression.,"lines containing either the string 'dog', a capital letter, or a vowel",.*(dog)|([A-Z])|([AEIOUaeiou]).*
Convert natural language to regular expression.,lines with the string 'dog' followed by a character,dog.*..*
Convert natural language to regular expression.,"lines with the string 'dog' before a lower-case letter, the string 'truck', and a letter",(dog).*(([a-z])&(truck)&([A-Za-z])).*
Convert natural language to regular expression.,"lines not having a character, a number, or a capital letter",~((.)|([0-9])|([A-Z]))
Convert natural language to regular expression.,lines containing a lower-case letter and starting with the string 'dog',(.*[a-z].*)&((dog)(.*))
Convert natural language to regular expression.,lines with a vowel before a lower-case letter followed by a letter,([AEIOUaeiou]).*([a-z].*[A-Za-z].*).*
Convert natural language to regular expression.,"lines with the string 'dog' before either a vowel, the string 'truck', or a character",(dog).*(([AEIOUaeiou])|(truck)|(.)).*
Convert natural language to regular expression.,lines not having the string 'dog' and not a number,~((dog)&([0-9]))
Convert natural language to regular expression.,"lines with words with ending with a letter, zero or more times",(\b(.*)([A-Za-z])\b)*
Convert natural language to regular expression.,"lines having either the string 'dog', a vowel, or a character before a letter",((dog)|([AEIOUaeiou])|(.)).*([A-Za-z]).*
Convert natural language to regular expression.,lines not ending with containing a lower-case letter,~((.*)(.*[a-z].*))
Convert natural language to regular expression.,"lines with words that contain the string 'dog', zero or more times",(\b.*dog.*\b)*
Convert natural language to regular expression.,lines with words with a letter before a capital letter at least once,\b([A-Za-z]).*(([A-Z])+).*\b
Convert natural language to regular expression.,lines with a lower-case letter or the string 'dog' before the string 'truck',(([a-z])|(dog)).*(truck).*
Convert natural language to regular expression.,lines with the string 'dog' followed by a character before the string 'truck',(dog.*..*).*(truck).*
Convert natural language to regular expression.,lines containing a vowel and the string 'dog' or a capital letter,(.*[AEIOUaeiou].*)&((dog)|([A-Z]))
Convert natural language to regular expression.,lines not words that contain a number,~(\b.*[0-9].*\b)
Convert natural language to regular expression.,"lines with the string 'dog' before the string 'truck', a character, and a lower-case letter",(dog).*((truck)&(.)&([a-z])).*
Convert natural language to regular expression.,lines containing the string 'dog' and a number at least once,(.*dog.*)&(([0-9])+)
Convert natural language to regular expression.,"lines with a character and the string 'dog' or the string 'truck', zero or more times",(((.)&(dog))|(truck))*
Convert natural language to regular expression.,"lines ending with the string 'dog' or a vowel, 4 or more times","(.*)((dog)|(([AEIOUaeiou]){4,}))"
Convert natural language to regular expression.,"lines with a number followed by a vowel, zero or more times",([0-9].*[AEIOUaeiou].*)*
Convert natural language to regular expression.,"lines with the string 'dog' before a number, the string 'truck', and a capital letter",(dog).*(([0-9])&(truck)&([A-Z])).*
Convert natural language to regular expression.,"lines not having the string 'dog' before either a character, the string 'truck', or the string 'ring'",(~(dog)).*((.)|(truck)|(ring)).*
Convert natural language to regular expression.,lines with a capital letter followed by a vowel before a letter,([A-Z].*[AEIOUaeiou].*).*([A-Za-z]).*
Convert natural language to regular expression.,"lines not having a capital letter, not a number, and not a character",~(([A-Z])&([0-9])&(.))
